service_id,date,exception_type
"4","20211217","2"
"4","20211231","2"
"4","20220107","2"
"4","20220114","2"
"4","20220121","2"
"4","20220128","2"
"4","20220204","2"
"4","20220211","2"
"4","20220218","2"
"4","20220225","2"
"4","20220304","2"
"4","20220311","2"
"4","20220318","2"
"4","20220325","2"
"4","20220401","2"
"4","20220408","2"
"4","20220415","2"
"4","20220422","2"
"4","20220429","2"
"y1001","20211224","2"
"y1001","20211227","2"
"y1001","20211228","2"
"y1001","20211229","2"
"y1001","20211230","2"
"y1001","20220317","2"
"y1001","20220418","2"
"y1002","20211213","2"
"y1002","20211220","2"
"y1002","20220103","2"
"y1002","20220110","2"
"y1002","20220117","2"
"y1002","20220124","2"
"y1002","20220131","2"
"y1002","20220207","2"
"y1002","20220214","2"
"y1002","20220221","2"
"y1002","20220228","2"
"y1002","20220307","2"
"y1002","20220314","2"
"y1002","20220317","1"
"y1002","20220321","2"
"y1002","20220328","2"
"y1002","20220404","2"
"y1002","20220411","2"
"y1002","20220425","2"
"y1003","20211225","2"
"y1003","20211228","1"
"y1003","20211229","1"
"y1003","20211230","1"
