service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"1","0","0","0","0","0","0","1","20211203","20211211"
"10","1","0","0","0","0","0","0","20211212","20220625"
"10801","1","0","0","0","0","0","0","20211212","20220528"
"10804","0","0","0","1","0","0","0","20211212","20220528"
"10806","0","0","0","0","0","1","0","20211212","20220528"
"10807","0","0","0","0","0","0","1","20211203","20211211"
"10807#1","0","0","0","0","0","0","1","20211212","20220528"
"10811","1","0","0","0","0","0","0","20211203","20211211"
"10811#1","1","0","0","0","0","0","0","20211212","20220528"
"10812","0","1","0","0","0","0","0","20211203","20211211"
"10812#1","0","1","0","0","0","0","0","20211212","20220528"
"10823","0","0","1","0","0","0","0","20211203","20211211"
"10823#1","0","0","1","0","0","0","0","20211212","20220528"
"10834","0","0","0","1","0","0","0","20211203","20211211"
"10834#1","0","0","0","1","0","0","0","20211212","20220528"
"10845","0","0","0","0","1","0","0","20211203","20211211"
"10845#1","0","0","0","0","1","0","0","20211212","20220528"
"10856","0","0","0","0","0","1","0","20211203","20211211"
"10856#1","0","0","0","0","0","1","0","20211212","20220528"
"10864","0","0","0","1","0","0","0","20211212","20220528"
"10875","0","0","0","0","1","0","0","20211212","20220528"
"10891","1","0","0","0","0","0","0","20211212","20220528"
"10892","0","1","0","0","0","0","0","20211212","20220528"
"10903","0","0","1","0","0","0","0","20211212","20220528"
"11","0","1","0","0","0","0","0","20211212","20220625"
"11085","0","0","0","0","1","0","0","20211212","20220528"
"11097","0","0","0","0","0","0","1","20211212","20220528"
"11101","1","0","0","0","0","0","0","20211212","20220528"
"11102","0","1","0","0","0","0","0","20211212","20220528"
"11103","0","0","1","0","0","0","0","20211212","20220528"
"11104","0","0","0","1","0","0","0","20211212","20220528"
"11105","0","0","0","0","1","0","0","20211212","20220528"
"12","0","0","1","0","0","0","0","20211212","20220625"
"13","0","0","0","1","0","0","0","20211212","20220625"
"14","0","0","0","0","1","0","0","20211212","20220625"
"15","0","0","0","0","0","1","0","20211212","20220625"
"16","1","0","0","0","0","0","0","20211212","20220625"
"17","0","0","0","1","0","0","0","20211212","20220625"
"2","1","0","0","0","0","0","0","20211203","20211211"
"3","0","1","0","0","0","0","0","20211203","20211211"
"4","0","0","1","0","0","0","0","20211203","20211211"
"5","0","0","0","1","0","0","0","20211203","20211211"
"6","0","0","0","0","1","0","0","20211203","20211211"
"7","0","0","0","0","0","1","0","20211203","20211211"
"Mo-Fr","1","1","1","1","1","0","0","20211203","20220630"
"Sat","0","0","0","0","0","1","0","20211203","20220630"
"Sun","0","0","0","0","0","0","1","20211203","20220630"
"y1001","0","0","0","0","0","0","1","20211212","20220625"
"y1002","0","0","0","0","1","0","0","20211212","20220625"
"y1003","1","0","0","0","0","0","0","20211212","20220625"
"y1004","0","0","0","1","0","0","0","20211212","20220625"
"y1005","0","0","1","0","0","0","0","20211212","20220625"
"y1006","0","0","0","0","1","0","0","20211212","20220625"
"y1007","0","1","0","0","0","0","0","20211212","20220625"
"y1008","0","0","0","0","0","1","0","20211212","20220625"
"y1009","0","0","0","0","0","0","1","20211212","20220625"
