from_stop_id,to_stop_id,transfer_type,min_transfer_time
"8350DB005089","8350DB004147","2","0"
"8350DB004147","8350DB005089","2","0"
"8350DB005091","8350DB004178","2","60"
"8350DB005092","8350DB004177","2","0"
"8350DB005088","8350DB005167","2","0"
"8350DB005167","8350DB005088","2","0"
"8350DB004299","8350DB005139","2","240"
"8350DB005139","8350DB004299","2","240"
"8350DB004242","8350DB004234","2","0"
"8350DB004234","8350DB004242","2","0"
"8350DB007279","8350DB004655","2","120"
"8350DB004104","8350DB004112","2","0"
"8350DB004111","8350DB004105","2","0"
"8350DB004105","8350DB004111","2","0"
"8350DB004106","8350DB004110","2","0"
"8350DB004110","8350DB004106","2","0"
"8350DB004103","8350DB004113","2","60"
"8350DB004113","8350DB004103","2","60"
"8350DB004112","8350DB004104","2","0"
"8350DB004151","8350DB004132","2","0"
"8350DB004137","8350DB004146","2","0"
"8350DB004146","8350DB004137","2","0"
"8350DB004136","8350DB004148","2","0"
"8350DB004148","8350DB004136","2","0"
"8350DB004156","8350DB004170","2","300"
"8350DB004156","8350DB004153","2","300"
"8350DB004156","8350DB007294","2","300"
"8350DB004156","8350DB002997","2","480"
"8350DB004139","8350DB004144","2","0"
"8350DB004144","8350DB004139","2","0"
"8350DB004132","8350DB004151","2","0"
"8350DB004134","8350DB003045","2","0"
"8350DB004130","8350DB004183","2","60"
"8350DB004130","8350DB004199","2","60"
"8350DB004130","8350DB004154","2","180"
"8350DB004130","8350DB004131","2","180"
"8350DB003045","8350DB004134","2","0"
"8350DB004227","8350DB004279","2","0"
"8350DB004279","8350DB004227","2","0"
"8350DB004281","8350DB004225","2","0"
"8350DB004281","8350DB004282","2","60"
"8350DB004281","8350DB004226","2","60"
"8350DB004281","8350DB004224","2","480"
"8350DB004225","8350DB004281","2","0"
"8350DB004225","8350DB004282","2","60"
"8350DB004225","8350DB004226","2","60"
"8350DB004225","8350DB004224","2","480"
"8350DB004282","8350DB004281","2","60"
"8350DB004282","8350DB004225","2","60"
"8350DB004289","8350DB004294","2","0"
"8350DB004293","8350DB004290","2","0"
"8350DB004290","8350DB004293","2","0"
"8350DB004291","8350DB004292","2","0"
"8350DB004222","8350DB004284","2","0"
"8350DB004284","8350DB004222","2","0"
"8350DB004654","8350DB004658","2","0"
"8350DB004658","8350DB004654","2","0"
"8350DB004659","8350DB004653","2","120"
"8350DB004652","8350DB004660","2","0"
"8350DB004660","8350DB004652","2","0"
"8350DB004653","8350DB004659","2","120"
"8350DB004655","8350DB007279","2","120"
"8350DB004214","8350DB004297","2","0"
"8350DB004297","8350DB004214","2","0"
"8350DB004212","8350DB004300","2","0"
"8350DB004300","8350DB004212","2","0"
"8350DB004296","8350DB004215","2","60"
"8350DB004292","8350DB004291","2","0"
"8350DB004294","8350DB004289","2","0"
"8350DB004295","8350DB004216","2","60"
"8350DB004303","8350DB004208","2","0"
"8350DB004192","8350DB004190","2","0"
"8350DB004190","8350DB004192","2","0"
"8350DB004196","8350DB004186","2","0"
"8350DB004186","8350DB004196","2","0"
"8350DB004208","8350DB004303","2","0"
"8350DB004183","8350DB004130","2","60"
"8350DB004183","8350DB004199","2","0"
"8350DB004183","8350DB004154","2","240"
"8350DB004183","8350DB004131","2","240"
"8350DB004199","8350DB004130","2","60"
"8350DB004199","8350DB004183","2","0"
"8350DB004199","8350DB004154","2","240"
"8350DB004199","8350DB004131","2","240"
"8350DB004170","8350DB004156","2","300"
"8350DB004170","8350DB004153","2","180"
"8350DB004170","8350DB007294","2","180"
"8350DB004170","8350DB002997","2","120"
"8350DB004169","8350DB004167","2","60"
"8350DB004169","8350DB004168","2","60"
"8350DB004167","8350DB004169","2","60"
"8350DB004167","8350DB004168","2","60"
"8350DB004168","8350DB004169","2","60"
"8350DB004168","8350DB004167","2","60"
"8350DB004178","8350DB005091","2","60"
"8350DB004178","8350DB004175","2","120"
"8350DB004175","8350DB004178","2","120"
"8350DB004177","8350DB005092","2","0"
"8350DB004241","8350DB004235","2","0"
"8350DB004235","8350DB004241","2","0"
"8350DB004216","8350DB004295","2","60"
"8350DB004215","8350DB004296","2","60"
"8350DB004226","8350DB004281","2","60"
"8350DB004226","8350DB004225","2","60"
"8350DB004224","8350DB004281","2","480"
"8350DB004224","8350DB004225","2","480"
"8260DB007083","8260DB007086","2","0"
"8260DB007086","8260DB007083","2","0"
"8250DB005128","8250DB007362","2","120"
"8250DB005105","8250DB003094","2","0"
"8250DB003094","8250DB005105","2","0"
"8250DB006007","8250DB006006","2","0"
"8250DB006006","8250DB006007","2","0"
"8250DB005143","8250DB002833","2","120"
"8250DB005143","8250DB004349","2","0"
"8250DB005168","8250DB003273","2","60"
"8250DB002892","8250DB005032","2","0"
"8250DB002892","8250DB002823","2","348"
"8250DB002892","8250DB002893","2","348"
"8250DB005032","8250DB002892","2","0"
"8250DB005032","8250DB002823","2","348"
"8250DB005032","8250DB002893","2","348"
"8250DB005047","8250DB005046","2","0"
"8250DB005046","8250DB005047","2","0"
"8250DB003245","8250DB003246","2","0"
"8250DB007057","8250DB000447","2","60"
"8250DB002833","8250DB005143","2","120"
"8250DB002833","8250DB004349","2","120"
"8250DB002053","8250DB002025","2","0"
"8250DB003535","8250DB007323","2","0"
"8250DB003535","8250DB003561","2","120"
"8250DB007323","8250DB003535","2","0"
"8250DB007323","8250DB003561","2","120"
"8250DB006201","8250DB006198","2","0"
"8250DB006198","8250DB006201","2","0"
"8250DB006103","8250DB006082","2","0"
"8250DB006082","8250DB006103","2","0"
"8250DB006196","8250DB006197","2","0"
"8250DB006197","8250DB006196","2","0"
"8250DB004569","8250DB004566","2","60"
"8250DB004571","8250DB004637","2","120"
"8250DB004707","8250DB004582","2","0"
"8250DB004707","8250DB004708","2","414"
"8250DB004707","8250DB004334","2","414"
"8250DB004707","8250DB004336","2","702"
"8250DB004582","8250DB004707","2","0"
"8250DB004582","8250DB004708","2","414"
"8250DB004582","8250DB004334","2","414"
"8250DB004582","8250DB004336","2","702"
"8250DB004568","8250DB004567","2","0"
"8250DB004567","8250DB004568","2","0"
"8250DB004566","8250DB004569","2","60"
"8250DB004708","8250DB004707","2","414"
"8250DB004708","8250DB004582","2","414"
"8250DB004708","8250DB004334","2","0"
"8250DB004334","8250DB004707","2","414"
"8250DB004334","8250DB004582","2","414"
"8250DB004334","8250DB004708","2","0"
"8250DB004637","8250DB004571","2","120"
"8250DB004477","8250DB003563","2","0"
"8250DB003563","8250DB004477","2","0"
"8250DB004462","8250DB003209","2","0"
"8250DB002859","8250DB002846","2","0"
"8250DB002859","8250DB002861","2","540"
"8250DB004848","8250DB004350","2","450"
"8250DB004848","8250DB003184","2","450"
"8250DB004988","8250DB004987","2","0"
"8250DB004987","8250DB004988","2","0"
"8250DB003232","8250DB004981","2","0"
"8250DB004981","8250DB003232","2","0"
"8250DB004983","8250DB002039","2","120"
"8250DB004983","8250DB002040","2","120"
"8250DB004983","8250DB002037","2","120"
"8250DB004771","8250DB003306","2","0"
"8250DB004771","8250DB003307","2","312"
"8250DB004772","8250DB003312","2","0"
"8250DB004772","8250DB003307","2","540"
"8250DB003306","8250DB004771","2","0"
"8250DB003306","8250DB003307","2","312"
"8250DB003312","8250DB004772","2","0"
"8250DB003312","8250DB003307","2","540"
"8250DB001055","8250DB001035","2","0"
"8250DB001055","8250DB001313","2","120"
"8250DB001055","8250DB001314","2","120"
"8250DB001035","8250DB001055","2","0"
"8250DB001035","8250DB001313","2","120"
"8250DB001035","8250DB001314","2","120"
"8260B5584001","8260B105741","2","0"
"8260B105741","8260B5584001","2","0"
"8260B1552601","8260B104001","2","0"
"8260B104001","8260B1552601","2","0"
"8260B1320701","8260B1032101","2","60"
"8260B1324501","8260B1027101","2","60"
"8250DB007373","8250DB003276","2","300"
"8250DB007373","8250DB003289","2","300"
"8250DB007373","8250DB007372","2","0"
"8250DB007393","8250DB002879","2","0"
"8250DB002879","8250DB007393","2","0"
"8250DB007362","8250DB005128","2","120"
"8250DB003261","8250DB003256","2","0"
"8260B1330101","8260B1047601","2","300"
"8260B1332101","8260B1047801","2","60"
"8260B1326401","8260B136431","2","60"
"8320B1313901","8320B1048501","2","60"
"8310DB003351","8310DB003352","2","0"
"8310DB003352","8310DB003351","2","0"
"8310DB003338","8310DB003328","2","0"
"8310DB003328","8310DB003338","2","0"
"8310DB003329","8310DB003337","2","0"
"8310DB003337","8310DB003329","2","0"
"8310DB003335","8310DB003331","2","0"
"8310DB003331","8310DB003335","2","0"
"8310DB003336","8310DB003330","2","0"
"8310DB003330","8310DB003336","2","0"
