service_id,date,exception_type
"TA+b0001","20211009","2"
"TA+b0001","20211011","2"
"TA+b0001","20211012","2"
"TA+b0001","20211013","2"
"TA+b0001","20211014","2"
"TA+b0001","20211016","2"
"TA+b0001","20211018","2"
"TA+b0001","20211019","2"
"TA+b0001","20211020","2"
"TA+b0001","20211021","2"
"TA+b0001","20211023","2"
"TA+b0001","20211025","2"
"TA+b0001","20211026","2"
"TA+b0001","20211027","2"
"TA+b0001","20211028","2"
"TA+b0001","20211030","2"
"TA+b0001","20211101","2"
"TA+b0001","20211102","2"
"TA+b0001","20211103","2"
"TA+b0001","20211104","2"
"TA+b0001","20211106","2"
"TA+b0001","20211108","2"
"TA+b0001","20211109","2"
"TA+b0001","20211110","2"
"TA+b0001","20211111","2"
"TA+b0001","20211113","2"
"TA+b0001","20211115","2"
"TA+b0001","20211116","2"
"TA+b0001","20211117","2"
"TA+b0001","20211118","2"
"TA+b0001","20211120","2"
"TA+b0001","20211122","2"
"TA+b0001","20211123","2"
"TA+b0001","20211124","2"
"TA+b0001","20211125","2"
"TA+b0001","20211127","2"
"TA+b0001","20211129","2"
"TA+b0001","20211130","2"
"TA+b0001","20211201","2"
"TA+b0001","20211202","2"
"TA+b0001","20211204","2"
"TA+b0001","20211206","2"
"TA+b0001","20211207","2"
"TA+b0001","20211208","2"
"TA+b0001","20211209","2"
"TA+b0001","20211211","2"
"TA+b0001","20211225","2"
"TA+b0001","20211227","2"
"TA+b0001","20220103","2"
"TA+b0001","20220317","2"
"TA+b0001","20220418","2"
"TA+b0001","20220502","2"
"TA+b0001","20220606","2"
"TA+b0001","20220801","2"
"TA+b0009","20211008","2"
"TA+b0009","20211009","2"
"TA+b0009","20211011","2"
"TA+b0009","20211012","2"
"TA+b0009","20211013","2"
"TA+b0009","20211014","2"
"TA+b0009","20211015","2"
"TA+b0009","20211016","2"
"TA+b0009","20211018","2"
"TA+b0009","20211019","2"
"TA+b0009","20211020","2"
"TA+b0009","20211021","2"
"TA+b0009","20211022","2"
"TA+b0009","20211023","2"
"TA+b0009","20211025","2"
"TA+b0009","20211026","2"
"TA+b0009","20211027","2"
"TA+b0009","20211028","2"
"TA+b0009","20211029","2"
"TA+b0009","20211030","2"
"TA+b0009","20211101","2"
"TA+b0009","20211102","2"
"TA+b0009","20211103","2"
"TA+b0009","20211104","2"
"TA+b0009","20211105","2"
"TA+b0009","20211106","2"
"TA+b0009","20211108","2"
"TA+b0009","20211109","2"
"TA+b0009","20211110","2"
"TA+b0009","20211111","2"
"TA+b0009","20211112","2"
"TA+b0009","20211113","2"
"TA+b0009","20211115","2"
"TA+b0009","20211116","2"
"TA+b0009","20211117","2"
"TA+b0009","20211118","2"
"TA+b0009","20211119","2"
"TA+b0009","20211120","2"
"TA+b0009","20211122","2"
"TA+b0009","20211123","2"
"TA+b0009","20211124","2"
"TA+b0009","20211125","2"
"TA+b0009","20211126","2"
"TA+b0009","20211127","2"
"TA+b0009","20211129","2"
"TA+b0009","20211130","2"
"TA+b0009","20211201","2"
"TA+b0009","20211202","2"
"TA+b0009","20211203","2"
"TA+b0009","20211204","2"
"TA+b0009","20211206","2"
"TA+b0009","20211207","2"
"TA+b0009","20211208","2"
"TA+b0009","20211209","2"
"TA+b0009","20211210","2"
"TA+b0009","20211211","2"
"TA+b0009","20211224","2"
"TA+b0009","20211225","2"
"TA+b0009","20211227","2"
"TA+b0009","20211231","2"
"TA+b0009","20220101","2"
"TA+b0009","20220103","2"
"TA+b0009","20220317","2"
"TA+b0009","20220418","2"
"TA+b0009","20220502","2"
"TA+b0009","20220606","2"
"TA+b0009","20220801","2"
"TA+b000g","20211008","2"
"TA+b000g","20211011","2"
"TA+b000g","20211012","2"
"TA+b000g","20211013","2"
"TA+b000g","20211014","2"
"TA+b000g","20211015","2"
"TA+b000g","20211018","2"
"TA+b000g","20211019","2"
"TA+b000g","20211020","2"
"TA+b000g","20211021","2"
"TA+b000g","20211022","2"
"TA+b000g","20211025","2"
"TA+b000g","20211026","2"
"TA+b000g","20211027","2"
"TA+b000g","20211028","2"
"TA+b000g","20211029","2"
"TA+b000g","20211101","2"
"TA+b000g","20211102","2"
"TA+b000g","20211103","2"
"TA+b000g","20211104","2"
"TA+b000g","20211105","2"
"TA+b000g","20211108","2"
"TA+b000g","20211109","2"
"TA+b000g","20211110","2"
"TA+b000g","20211111","2"
"TA+b000g","20211112","2"
"TA+b000g","20211115","2"
"TA+b000g","20211116","2"
"TA+b000g","20211117","2"
"TA+b000g","20211118","2"
"TA+b000g","20211119","2"
"TA+b000g","20211122","2"
"TA+b000g","20211123","2"
"TA+b000g","20211124","2"
"TA+b000g","20211125","2"
"TA+b000g","20211126","2"
"TA+b000g","20211129","2"
"TA+b000g","20211130","2"
"TA+b000g","20211201","2"
"TA+b000g","20211202","2"
"TA+b000g","20211203","2"
"TA+b000g","20211206","2"
"TA+b000g","20211207","2"
"TA+b000g","20211208","2"
"TA+b000g","20211209","2"
"TA+b000g","20211210","2"
"TA+b000g","20211224","2"
"TA+b000g","20211227","2"
"TA+b000g","20211231","2"
"TA+b000g","20220103","2"
"TA+b000g","20220317","2"
"TA+b000g","20220418","2"
"TA+b000g","20220502","2"
"TA+b000g","20220606","2"
"TA+b000g","20220801","2"
"TA+b000h","20211008","2"
"TA+b000h","20211015","2"
"TA+b000h","20211022","2"
"TA+b000h","20211029","2"
"TA+b000h","20211105","2"
"TA+b000h","20211112","2"
"TA+b000h","20211119","2"
"TA+b000h","20211126","2"
"TA+b000h","20211203","2"
"TA+b000h","20211210","2"
"TA+b000h","20211217","2"
"TA+b000h","20211224","2"
"TA+b0013","20211008","2"
"TA+b0013","20211009","2"
"TA+b0013","20211011","2"
"TA+b0013","20211012","2"
"TA+b0013","20211013","2"
"TA+b0013","20211014","2"
"TA+b0013","20211015","2"
"TA+b0013","20211016","2"
"TA+b0013","20211018","2"
"TA+b0013","20211019","2"
"TA+b0013","20211020","2"
"TA+b0013","20211021","2"
"TA+b0013","20211022","2"
"TA+b0013","20211023","2"
"TA+b0013","20211025","2"
"TA+b0013","20211026","2"
"TA+b0013","20211027","2"
"TA+b0013","20211028","2"
"TA+b0013","20211029","2"
"TA+b0013","20211030","2"
"TA+b0013","20211101","2"
"TA+b0013","20211102","2"
"TA+b0013","20211103","2"
"TA+b0013","20211104","2"
"TA+b0013","20211105","2"
"TA+b0013","20211106","2"
"TA+b0013","20211108","2"
"TA+b0013","20211109","2"
"TA+b0013","20211110","2"
"TA+b0013","20211111","2"
"TA+b0013","20211112","2"
"TA+b0013","20211113","2"
"TA+b0013","20211115","2"
"TA+b0013","20211116","2"
"TA+b0013","20211117","2"
"TA+b0013","20211118","2"
"TA+b0013","20211119","2"
"TA+b0013","20211120","2"
"TA+b0013","20211122","2"
"TA+b0013","20211123","2"
"TA+b0013","20211124","2"
"TA+b0013","20211125","2"
"TA+b0013","20211126","2"
"TA+b0013","20211127","2"
"TA+b0013","20211129","2"
"TA+b0013","20211130","2"
"TA+b0013","20211201","2"
"TA+b0013","20211202","2"
"TA+b0013","20211203","2"
"TA+b0013","20211204","2"
"TA+b0013","20211206","2"
"TA+b0013","20211207","2"
"TA+b0013","20211208","2"
"TA+b0013","20211209","2"
"TA+b0013","20211210","2"
"TA+b0013","20211211","2"
"TA+b0013","20211213","2"
"TA+b0013","20211214","2"
"TA+b0013","20211215","2"
"TA+b0013","20211216","2"
"TA+b0013","20211217","2"
"TA+b0013","20211218","2"
"TA+b0013","20211220","2"
"TA+b0013","20211221","2"
"TA+b0013","20211222","2"
"TA+b0013","20211223","2"
"TA+b0013","20211224","2"
"TA+b0013","20211225","2"
"TA+b0013","20211227","2"
"TA+b0013","20211228","2"
"TA+b0013","20211229","2"
"TA+b0013","20211231","2"
"TA+b0013","20220101","2"
"TA+b0013","20220103","2"
"TA+b0013","20220104","2"
"TA+b0013","20220105","2"
"TA+b0013","20220106","2"
"TA+b0013","20220107","2"
"TA+b0013","20220108","2"
"TA+b0013","20220110","2"
"TA+b0013","20220111","2"
"TA+b0013","20220112","2"
"TA+b0013","20220113","2"
"TA+b0013","20220114","2"
"TA+b0013","20220115","2"
"TA+b0013","20220117","2"
