service_id,date,exception_type
"gf","20220107","2"
"gf","20220114","2"
"gf","20220121","2"
"gf","20220128","2"
"gf","20220204","2"
"gf","20220211","2"
"gf","20220218","2"
"gf","20220225","2"
"gf","20220304","2"
"gf","20220311","2"
"gf","20220318","2"
"gf","20220325","2"
"gf","20220401","2"
"gf","20220408","2"
"gf","20220422","2"
"gf","20220429","2"
"gf","20220506","2"
"gf","20220513","2"
"gf","20220520","2"
"gf","20220527","2"
"gf","20220603","2"
"gf","20220610","2"
"gf","20220617","2"
"gf","20220624","2"
"MF-BH#2","20220317","2"
"MF-BH#2","20220415","2"
"MF-BH#2","20220418","2"
"MF-BH#2","20220502","2"
"MF-BH#2","20220606","2"
"SuBH#4","20220317","1"
"SuBH#4","20220415","1"
"SuBH#4","20220418","1"
"SuBH#4","20220501","2"
"SuBH#4","20220606","1"
