from_stop_id,to_stop_id,transfer_type,min_transfer_time
"822GA00070","822GA00071","2","60"
"822GA00071","822GA00070","2","60"
"822GA00074","822GA00075","2","60"
"822GA00075","822GA00074","2","60"
"822GA00083","822GA00084","2","0"
"822GA00084","822GA00083","2","0"
"822GA00275","822GA00276","2","0"
"822GA00276","822GA00275","2","0"
"822GA00278","822GA00279","2","0"
"822GA00279","822GA00278","2","0"
"822GA00062","822GA00440","2","0"
"825GA00281","825GA00282","2","0"
"825GA00282","825GA00281","2","0"
"825GA00286","825GA00287","2","60"
"825GA00287","825GA00286","2","60"
"825GA00291","825GA00292","2","60"
"825GA00292","825GA00291","2","60"
"825GA00296","825GA00295","2","60"
"825GA00297","825GA00298","2","0"
"825GA00298","825GA00297","2","0"
"825GA00293","825GA00294","2","0"
"825GA00294","825GA00293","2","0"
"825GA00310","825GA00311","2","0"
"825GA00311","825GA00310","2","0"
"825GA00313","825GA00314","2","0"
"825GA00314","825GA00313","2","0"
"825GA00316","825GA00317","2","0"
"825GA00317","825GA00316","2","0"
"825GA00319","825GA00320","2","0"
"825GA00320","825GA00319","2","0"
"825GA00322","825GA00323","2","0"
"825GA00323","825GA00322","2","0"
"825GA00325","825GA00326","2","0"
"825GA00326","825GA00325","2","0"
"825GA00329","825GA00330","2","0"
"825GA00330","825GA00329","2","0"
"825GA00332","825GA00333","2","0"
"825GA00333","825GA00332","2","0"
"825GA00335","825GA00336","2","0"
"825GA00336","825GA00335","2","0"
"823GA00338","823GA00339","2","0"
"823GA00339","823GA00338","2","0"
"823GA00341","823GA00342","2","0"
"823GA00342","823GA00341","2","0"
"823GA00344","823GA00345","2","0"
"823GA00345","823GA00344","2","0"
"823GA00347","823GA00348","2","0"
"823GA00348","823GA00347","2","0"
"823GA00350","823GA00351","2","60"
"823GA00351","823GA00350","2","60"
"823GA00353","823GA00354","2","0"
"823GA00354","823GA00353","2","0"
"822GA00356","822GA00357","2","0"
"822GA00357","822GA00356","2","0"
"822GA00360","822GA00361","2","0"
"822GA00361","822GA00360","2","0"
"822GA00363","822GA00364","2","0"
"822GA00364","822GA00363","2","0"
"822GA00366","822GA00367","2","0"
"822GA00367","822GA00366","2","0"
"822GA00369","822GA00370","2","0"
"822GA00370","822GA00369","2","0"
"822GA00372","822GA00373","2","0"
"822GA00373","822GA00372","2","0"
"822GA00375","822GA00376","2","0"
"822GA00376","822GA00375","2","0"
"822GA00378","822GA00379","2","0"
"822GA00379","822GA00378","2","0"
"822GA00381","822GA00382","2","0"
"822GA00382","822GA00381","2","0"
"822GA00386","822GA00387","2","0"
"822GA00387","822GA00386","2","0"
"822GA00389","822GA00390","2","0"
"822GA00390","822GA00389","2","0"
"823GA00392","823GA00393","2","0"
"823GA00393","823GA00392","2","0"
"823GA00395","823GA00396","2","0"
"823GA00396","823GA00395","2","0"
"822GA00398","822GA00399","2","0"
"822GA00399","822GA00398","2","0"
"822GA00401","822GA00402","2","0"
"822GA00402","822GA00401","2","0"
"822GA00404","822GA00405","2","0"
"822GA00405","822GA00404","2","0"
"822GA00408","822GA00409","2","0"
"822GA00408","822GA00420","3",""
"822GA00408","822GA00058","3",""
"822GA00408","822GA00444","3",""
"822GA00408","822GA00034","3",""
"822GA00409","822GA00408","2","0"
"822GA00409","822GA00420","3",""
"822GA00409","822GA00058","3",""
"822GA00409","822GA00444","3",""
"822GA00409","822GA00034","3",""
"823GA00412","823GA00413","2","0"
"823GA00413","823GA00412","2","0"
"823GA00415","823GA00416","2","0"
"823GA00416","823GA00415","2","0"
"823GA00418","823GA00419","2","0"
"823GA00419","823GA00418","2","0"
"822GA00420","822GA00408","3",""
"822GA00420","822GA00409","3",""
"822GA00420","822GA00421","2","0"
"822GA00420","822GA00423","3",""
"822GA00420","822GA00424","3",""
"822GA00420","822GA00058","2","1380"
"822GA00421","822GA00420","2","0"
"822GA00421","822GA00423","3",""
"822GA00421","822GA00424","3",""
"822GA00423","822GA00420","3",""
"822GA00423","822GA00421","3",""
"822GA00423","822GA00424","2","0"
"822GA00423","822GA00427","3",""
"822GA00423","822GA00428","3",""
"822GA00424","822GA00420","3",""
"822GA00424","822GA00421","3",""
"822GA00424","822GA00423","2","0"
"822GA00424","822GA00427","3",""
"822GA00424","822GA00428","3",""
"822GA00427","822GA00423","3",""
"822GA00427","822GA00424","3",""
"822GA00427","822GA00428","2","0"
"822GA00428","822GA00423","3",""
"822GA00428","822GA00424","3",""
"822GA00428","822GA00427","2","0"
"822GA00430","822GA00431","2","0"
"822GA00431","822GA00430","2","0"
"822GA00433","822GA00434","2","0"
"822GA00434","822GA00433","2","0"
"822GA00436","822GA00437","2","0"
"822GA00437","822GA00436","2","0"
"825GA00295","825GA00296","2","60"
"822GA00440","822GA00062","2","0"
"822GA00058","822GA00408","3",""
"822GA00058","822GA00409","3",""
"822GA00058","822GA00420","2","1380"
"822GA00443","822GA00035","3",""
"822GA00444","822GA00408","3",""
"822GA00444","822GA00409","3",""
"822GA00444","822GA00034","3",""
"822GA00034","822GA00408","3",""
"822GA00034","822GA00409","3",""
"822GA00034","822GA00444","3",""
"822GA00035","822GA00443","3",""
