route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"93-GRN-y11-10","MF-BH","1.MF-BH.93-GRN-y11-10.42.I","93-GRN-y11-10.42.I","","1"
"93-GRN-y11-10","Sat","1.Sat.93-GRN-y11-10.42.I","93-GRN-y11-10.42.I","","1"
"93-GRN-y11-10","SuBH","1.SuBH.93-GRN-y11-10.42.I","93-GRN-y11-10.42.I","","1"
"93-GRN-y11-10","MF-BH","10.MF-BH.93-GRN-y11-10.1.I","93-GRN-y11-10.1.I","","1"
"93-GRN-y11-10","Sat","10.Sat.93-GRN-y11-10.2.I","93-GRN-y11-10.2.I","","1"
"93-GRN-y11-10","SuBH","10.SuBH.93-GRN-y11-10.2.I","93-GRN-y11-10.2.I","","1"
"93-GRN-y11-10","MF-BH","100.MF-BH.93-GRN-y11-10.4.I","93-GRN-y11-10.4.I","","1"
"93-GRN-y11-10","Sat","100.Sat.93-GRN-y11-10.1.I","93-GRN-y11-10.1.I","","1"
"93-GRN-y11-10","SuBH","100.SuBH.93-GRN-y11-10.30.O","93-GRN-y11-10.30.O","","0"
"93-GRN-y11-10","MF-BH","101.MF-BH.93-GRN-y11-10.1.I","93-GRN-y11-10.1.I","","1"
"93-GRN-y11-10","Sat","101.Sat.93-GRN-y11-10.4.I","93-GRN-y11-10.4.I","","1"
"93-GRN-y11-10","SuBH","101.SuBH.93-GRN-y11-10.30.O","93-GRN-y11-10.30.O","","0"
"93-GRN-y11-10","MF-BH","102.MF-BH.93-GRN-y11-10.4.I","93-GRN-y11-10.4.I","","1"
"93-GRN-y11-10","Sat","102.Sat.93-GRN-y11-10.1.I","93-GRN-y11-10.1.I","","1"
"93-GRN-y11-10","SuBH","102.SuBH.93-GRN-y11-10.30.O","93-GRN-y11-10.30.O","","0"
"93-GRN-y11-10","MF-BH","103.MF-BH.93-GRN-y11-10.1.I","93-GRN-y11-10.1.I","","1"
"93-GRN-y11-10","Sat","103.Sat.93-GRN-y11-10.4.I","93-GRN-y11-10.4.I","","1"
"93-GRN-y11-10","SuBH","103.SuBH.93-GRN-y11-10.30.O","93-GRN-y11-10.30.O","","0"
"93-GRN-y11-10","MF-BH","104.MF-BH.93-GRN-y11-10.4.I","93-GRN-y11-10.4.I","","1"
"93-GRN-y11-10","Sat","104.Sat.93-GRN-y11-10.1.I","93-GRN-y11-10.1.I","","1"
"93-GRN-y11-10","SuBH","104.SuBH.93-GRN-y11-10.30.O","93-GRN-y11-10.30.O","","0"
"93-GRN-y11-10","MF-BH","105.MF-BH.93-GRN-y11-10.1.I","93-GRN-y11-10.1.I","","1"
"93-GRN-y11-10","Sat","105.Sat.93-GRN-y11-10.4.I","93-GRN-y11-10.4.I","","1"
"93-GRN-y11-10","SuBH","105.SuBH.93-GRN-y11-10.30.O","93-GRN-y11-10.30.O","","0"
"93-GRN-y11-10","MF-BH","106.MF-BH.93-GRN-y11-10.4.I","93-GRN-y11-10.4.I","","1"
"93-GRN-y11-10","Sat","106.Sat.93-GRN-y11-10.1.I","93-GRN-y11-10.1.I","","1"
"93-GRN-y11-10","SuBH","106.SuBH.93-GRN-y11-10.30.O","93-GRN-y11-10.30.O","","0"
"93-GRN-y11-10","MF-BH","107.MF-BH.93-GRN-y11-10.1.I","93-GRN-y11-10.1.I","","1"
"93-GRN-y11-10","Sat","107.Sat.93-GRN-y11-10.4.I","93-GRN-y11-10.4.I","","1"
"93-GRN-y11-10","SuBH","107.SuBH.93-GRN-y11-10.30.O","93-GRN-y11-10.30.O","","0"
"93-GRN-y11-10","MF-BH","108.MF-BH.93-GRN-y11-10.4.I","93-GRN-y11-10.4.I","","1"
"93-GRN-y11-10","Sat","108.Sat.93-GRN-y11-10.1.I","93-GRN-y11-10.1.I","","1"
"93-GRN-y11-10","SuBH","108.SuBH.93-GRN-y11-10.30.O","93-GRN-y11-10.30.O","","0"
"93-GRN-y11-10","MF-BH","109.MF-BH.93-GRN-y11-10.1.I","93-GRN-y11-10.1.I","","1"
"93-GRN-y11-10","Sat","109.Sat.93-GRN-y11-10.4.I","93-GRN-y11-10.4.I","","1"
"93-GRN-y11-10","SuBH","109.SuBH.93-GRN-y11-10.30.O","93-GRN-y11-10.30.O","","0"
"93-GRN-y11-10","MF-BH","11.MF-BH.93-GRN-y11-10.4.I","93-GRN-y11-10.4.I","","1"
