route_id,agency_id,route_short_name,route_long_name,route_type
"60-1-b12-1",978,1,,3
"60-11-b12-1",978,11,,3
"60-116-b12-1",978,116,,3
"60-118-b12-1",978,118,,3
"60-120-b12-1",978,120,,3
"60-122-b12-1",978,122,,3
"60-123-b12-1",978,123,,3
"60-13-b12-1",978,13,,3
"60-130-b12-1",978,130,,3
"60-14-b12-1",978,14,,3
"60-140-b12-1",978,140,,3
"60-142-b12-1",978,142,,3
"60-145-b12-1",978,145,,3
"60-15-b12-1",978,15,,3
"60-15D-b12-1",978,15d,,3
"60-150-b12-1",978,150,,3
"60-155-b12-1",978,155,,3
"60-151-b12-1",978,151,,3
"60-15A-b12-1",978,15a,,3
"60-15B-b12-1",978,15b,,3
"60-16-b12-1",978,16,,3
"60-16D-b12-1",978,16d,,3
"60-26-b12-1",978,26,,3
"60-27-b12-1",978,27,,3
"60-27A-b12-1",978,27a,,3
"60-27B-b12-1",978,27b,,3
"60-27X-b12-1",978,27x,,3
"60-31D-b12-1",978,31d,,3
"60-32X-b12-1",978,32x,,3
"60-33-b12-1",978,33,,3
"60-33D-b12-1",978,33d,,3
"60-33E-b12-1",978,33e,,3
"60-33X-b12-1",978,33x,,3
"60-37-b12-1",978,37,,3
"60-38-b12-1",978,38,,3
"60-38A-b12-1",978,38a,,3
"60-38B-b12-1",978,38b,,3
"60-38D-b12-1",978,38d,,3
"60-39-b12-1",978,39,,3
"60-39A-b12-1",978,39a,,3
"60-39X-b12-1",978,39x,,3
"60-4-b12-1",978,4,,3
"60-40-b12-1",978,40,,3
"60-40B-b12-1",978,40b,,3
"60-40D-b12-1",978,40d,,3
"60-40E-b12-1",978,40e,,3
"60-41-b12-1",978,41,,3
"60-41B-b12-1",978,41b,,3
"60-41C-b12-1",978,41c,,3
"60-41D-b12-1",978,41d,,3
"60-41X-b12-1",978,41x,,3
"60-42-b12-1",978,42,,3
"60-42D-b12-1",978,42d,,3
"60-43-b12-1",978,43,,3
"60-44-b12-1",978,44,,3
"60-44B-b12-1",978,44b,,3
"60-46A-b12-1",978,46a,,3
"60-46E-b12-1",978,46e,,3
"60-47-b12-1",978,47,,3
"60-49-b12-1",978,49,,3
"60-51D-b12-1",978,51d,,3
"60-52-b12-1",978,52,,3
"60-53-b12-1",978,53,,3
"60-54A-b12-1",978,54a,,3
"60-56A-b12-1",978,56a,,3
"60-6-b12-1",978,6,,3
"60-61-b12-1",978,61,,3
"60-65-b12-1",978,65,,3
"60-65B-b12-1",978,65b,,3
"60-68-b12-1",978,68,,3
"60-68X-b12-1",978,68x,,3
"60-68A-b12-1",978,68a,,3
"60-69-b12-1",978,69,,3
"60-69X-b12-1",978,69x,,3
"60-7-b12-1",978,7,,3
"60-7A-b12-1",978,7a,,3
"60-70-b12-1",978,70,,3
"60-70D-b12-1",978,70d,,3
"60-77A-b12-1",978,77a,,3
"60-77X-b12-1",978,77x,,3
"60-79-b12-1",978,79,,3
"60-79A-b12-1",978,79a,,3
"60-7B-b12-1",978,7b,,3
"60-7D-b12-1",978,7d,,3
"60-83-b12-1",978,83,,3
"60-83A-b12-1",978,83a,,3
"60-84-b12-1",978,84,,3
"60-84A-b12-1",978,84a,,3
"60-84X-b12-1",978,84x,,3
"60-9-b12-1",978,9,,3
"60-H1-b12-1",978,H1,,3
"60-H2-b12-1",978,H2,,3
"60-H3-b12-1",978,H3,,3
"60-H9-b12-1",978,H9,,3
"60-C1-b12-1",978,C1,,3
"60-C2-b12-1",978,C2,,3
"60-C3-b12-1",978,C3,,3
"60-C4-b12-1",978,C4,,3
"60-C5-b12-1",978,C5,,3
"60-C6-b12-1",978,C6,,3
"60-P29-b12-1",978,P29,,3
"60-L53-b12-1",978,L53,,3
"60-L54-b12-1",978,L54,,3
"60-L58-b12-1",978,L58,,3
"60-L59-b12-1",978,L59,,3
"60-X25-b12-1",978,X25,,3
"60-X26-b12-1",978,X26,,3
"60-X27-b12-1",978,X27,,3
"60-X28-b12-1",978,X28,,3
"60-X30-b12-1",978,X30,,3
"60-X31-b12-1",978,X31,,3
"60-X32-b12-1",978,X32,,3
"60-1-d12-1",978,1,,3
"60-11-d12-1",978,11,,3
"60-116-d12-1",978,116,,3
"60-118-d12-1",978,118,,3
"60-120-d12-1",978,120,,3
"60-122-d12-1",978,122,,3
"60-123-d12-1",978,123,,3
"60-13-d12-1",978,13,,3
"60-130-d12-1",978,130,,3
"60-14-d12-1",978,14,,3
"60-140-d12-1",978,140,,3
"60-142-d12-1",978,142,,3
"60-145-d12-1",978,145,,3
"60-15-d12-1",978,15,,3
"60-150-d12-1",978,150,,3
"60-151-d12-1",978,151,,3
"60-155-d12-1",978,155,,3
"60-15A-d12-1",978,15a,,3
"60-15B-d12-1",978,15b,,3
"60-15D-d12-1",978,15d,,3
"60-16-d12-1",978,16,,3
"60-16D-d12-1",978,16d,,3
"60-26-d12-1",978,26,,3
"60-27-d12-1",978,27,,3
"60-27A-d12-1",978,27a,,3
"60-27B-d12-1",978,27b,,3
"60-27X-d12-1",978,27x,,3
"60-31D-d12-1",978,31d,,3
"60-32X-d12-1",978,32x,,3
"60-33-d12-1",978,33,,3
"60-33D-d12-1",978,33d,,3
"60-33E-d12-1",978,33e,,3
"60-33X-d12-1",978,33x,,3
"60-37-d12-1",978,37,,3
"60-38-d12-1",978,38,,3
"60-38A-d12-1",978,38a,,3
"60-38B-d12-1",978,38b,,3
"60-38D-d12-1",978,38d,,3
"60-39-d12-1",978,39,,3
"60-39A-d12-1",978,39a,,3
"60-39X-d12-1",978,39x,,3
"60-4-d12-1",978,4,,3
"60-40-d12-1",978,40,,3
"60-40B-d12-1",978,40b,,3
"60-40D-d12-1",978,40d,,3
"60-40E-d12-1",978,40e,,3
"60-41-d12-1",978,41,,3
"60-41B-d12-1",978,41b,,3
"60-41C-d12-1",978,41c,,3
"60-41D-d12-1",978,41d,,3
"60-41X-d12-1",978,41x,,3
"60-42-d12-1",978,42,,3
"60-42D-d12-1",978,42d,,3
"60-43-d12-1",978,43,,3
"60-44-d12-1",978,44,,3
"60-44B-d12-1",978,44b,,3
"60-46A-d12-1",978,46a,,3
"60-46E-d12-1",978,46e,,3
"60-47-d12-1",978,47,,3
"60-49-d12-1",978,49,,3
"60-51D-d12-1",978,51d,,3
"60-52-d12-1",978,52,,3
"60-53-d12-1",978,53,,3
"60-54A-d12-1",978,54a,,3
"60-56A-d12-1",978,56a,,3
"60-6-d12-1",978,6,,3
"60-61-d12-1",978,61,,3
"60-65-d12-1",978,65,,3
"60-65B-d12-1",978,65b,,3
"60-68-d12-1",978,68,,3
"60-68X-d12-1",978,68x,,3
"60-68A-d12-1",978,68a,,3
"60-69-d12-1",978,69,,3
"60-69X-d12-1",978,69x,,3
"60-7-d12-1",978,7,,3
"60-70-d12-1",978,70,,3
"60-70D-d12-1",978,70d,,3
"60-77A-d12-1",978,77a,,3
"60-77X-d12-1",978,77x,,3
"60-79-d12-1",978,79,,3
"60-79A-d12-1",978,79a,,3
"60-7A-d12-1",978,7a,,3
"60-7B-d12-1",978,7b,,3
"60-7D-d12-1",978,7d,,3
"60-83-d12-1",978,83,,3
"60-83A-d12-1",978,83a,,3
"60-84-d12-1",978,84,,3
"60-84A-d12-1",978,84a,,3
"60-84X-d12-1",978,84x,,3
"60-9-d12-1",978,9,,3
"60-H1-d12-1",978,H1,,3
"60-H2-d12-1",978,H2,,3
"60-H3-d12-1",978,H3,,3
"60-H9-d12-1",978,H9,,3
"60-C1-d12-1",978,C1,,3
"60-C2-d12-1",978,C2,,3
"60-C3-d12-1",978,C3,,3
"60-C4-d12-1",978,C4,,3
"60-C5-d12-1",978,C5,,3
"60-C6-d12-1",978,C6,,3
"60-P29-d12-1",978,P29,,3
"60-L53-d12-1",978,L53,,3
"60-L54-d12-1",978,L54,,3
"60-L58-d12-1",978,L58,,3
"60-L59-d12-1",978,L59,,3
"60-X25-d12-1",978,X25,,3
"60-X26-d12-1",978,X26,,3
"60-X27-d12-1",978,X27,,3
"60-X28-d12-1",978,X28,,3
"60-X30-d12-1",978,X30,,3
"60-X31-d12-1",978,X31,,3
"60-X32-d12-1",978,X32,,3
2-102-gad-1,03,102,,3
2-102-6-gad-1,03,102a,,3
2-102-7-gad-1,03,102c,,3
2-102-8-gad-1,03,102p,,3
2-102-9-gad-1,03,102t,,3
2-104-gad-1,03,104,,3
2-111-gad-1,03,111,,3
2-114-gad-1,03,114,,3
2-161-gad-1,03,161,,3
2-171-gad-1,03,17a,,3
2-174-gad-1,03,17d,,3
2-175-gad-1,03,175,,3
2-17-gad-1,03,17,,3
2-184-gad-1,03,184,,3
2-185-gad-1,03,185,,3
2-185-9-gad-1,03,185t,,3
2-18-gad-1,03,18,,3
2-220-gad-1,03,220,,3
2-220-1-gad-1,03,220a,,3
2-220-9-gad-1,03,220t,,3
2-236-1-gad-1,03,236a,,3
2-236-gad-1,03,236,,3
2-236-9-gad-1,03,236t,,3
2-238-gad-1,03,238,,3
2-270-gad-1,03,270,,3
2-270-9-gad-1,03,270t,,3
2-331-gad-1,03,33a,,3
2-332-gad-1,03,33b,,3
2-339-gad-1,03,33t,,3
2-451-gad-1,03,45a,,3
2-452-gad-1,03,45b,,3
2-59-gad-1,03,59,,3
2-63-gad-1,03,63,,3
2-631-gad-1,03,63a,,3
2-751-gad-1,03,75a,,3
2-75-gad-1,03,75,,3
2-761-gad-1,03,76a,,3
2-76-gad-1,03,76,,3
2-951-gad-1,03,L51,,3
2-952-gad-1,03,L52,,3
2-102-ga2-1,03,102,,3
2-102-6-ga2-1,03,102a,,3
2-102-7-ga2-1,03,102c,,3
2-102-8-ga2-1,03,102p,,3
2-102-9-ga2-1,03,102t,,3
2-104-ga2-1,03,104,,3
2-111-ga2-1,03,111,,3
2-114-ga2-1,03,114,,3
2-161-ga2-1,03,161,,3
2-171-ga2-1,03,17a,,3
2-174-ga2-1,03,17d,,3
2-175-ga2-1,03,175,,3
2-17-ga2-1,03,17,,3
2-184-ga2-1,03,184,,3
2-185-ga2-1,03,185,,3
2-185-9-ga2-1,03,185t,,3
2-18-ga2-1,03,18,,3
2-220-ga2-1,03,220,,3
2-220-1-ga2-1,03,220a,,3
2-220-9-ga2-1,03,220t,,3
2-236-1-ga2-1,03,236a,,3
2-236-ga2-1,03,236,,3
2-236-9-ga2-1,03,236t,,3
2-238-ga2-1,03,238,,3
2-239-ga2-1,03,239,,3
2-270-ga2-1,03,270,,3
2-270-9-ga2-1,03,270t,,3
2-331-ga2-1,03,33a,,3
2-332-ga2-1,03,33b,,3
2-339-ga2-1,03,33t,,3
2-451-ga2-1,03,45a,,3
2-452-ga2-1,03,45b,,3
2-59-ga2-1,03,59,,3
2-63-ga2-1,03,63,,3
2-631-ga2-1,03,63a,,3
