service_id,date,exception_type
"1","20220317","2"
"1","20220318","2"
"1","20220418","2"
"1","20220502","2"
"1","20220606","2"
"10804","20220324","2"
"10804","20220331","2"
"10804","20220407","2"
"10804","20220414","2"
"10804","20220421","2"
"10804","20220428","2"
"10804","20220505","2"
"10804","20220512","2"
"10804","20220519","2"
"10804","20220526","2"
"10804","20220602","2"
"10804","20220609","2"
"10804","20220616","2"
"10804","20220623","2"
"10804","20220630","2"
"10804","20220707","2"
"10804","20220714","2"
"10804","20220721","2"
"10804","20220728","2"
"10804","20220804","2"
"10804","20220811","2"
"10804","20220818","2"
"10804","20220825","2"
"10804","20220901","2"
"10804","20220908","2"
"10805","20220325","2"
"10805","20220401","2"
"10805","20220408","2"
"10805","20220415","2"
"10805","20220422","2"
"10805","20220429","2"
"10805","20220506","2"
"10805","20220513","2"
"10805","20220520","2"
"10805","20220527","2"
"10805","20220603","2"
"10805","20220610","2"
"10805","20220617","2"
"10805","20220624","2"
"10805","20220701","2"
"10805","20220708","2"
"10805","20220715","2"
"10805","20220722","2"
"10805","20220729","2"
"10805","20220805","2"
"10805","20220812","2"
"10805","20220819","2"
"10805","20220826","2"
"10805","20220902","2"
"10805","20220909","2"
"16","20220314","2"
"16","20220321","2"
"16","20220325","2"
"16","20220328","2"
"16","20220401","2"
"16","20220404","2"
"16","20220408","2"
"16","20220411","2"
"16","20220415","2"
"16","20220422","2"
"16","20220425","2"
"16","20220429","2"
"16","20220506","2"
"16","20220509","2"
"16","20220513","2"
"16","20220516","2"
"16","20220520","2"
"16","20220523","2"
"16","20220527","2"
"16","20220530","2"
"16","20220603","2"
"16","20220610","2"
"16","20220613","2"
"16","20220617","2"
"16","20220620","2"
"16","20220624","2"
"17","20220324","2"
"17","20220331","2"
"17","20220407","2"
"17","20220414","2"
"17","20220421","2"
"17","20220428","2"
"17","20220505","2"
"17","20220512","2"
"17","20220519","2"
"17","20220526","2"
"17","20220602","2"
"17","20220609","2"
"17","20220616","2"
"17","20220623","2"
"2","20220307","2"
"2","20220314","2"
"2","20220317","1"
"2","20220318","1"
"2","20220321","2"
"2","20220328","2"
"2","20220404","2"
"2","20220411","2"
"2","20220425","2"
"2","20220509","2"
"2","20220516","2"
"2","20220523","2"
"2","20220530","2"
"2","20220613","2"
"y1001","20220317","2"
"y1001","20220414","2"
"y1001","20220421","2"
"y1001","20220707","2"
"y1001","20220714","2"
"y1001","20220721","2"
"y1001","20220728","2"
"y1001","20220804","2"
"y1001","20220811","2"
"y1001","20220818","2"
"y1001","20220825","2"
"y1002","20220314","2"
"y1002","20220321","2"
"y1002","20220328","2"
"y1002","20220404","2"
"y1002","20220411","2"
"y1002","20220425","2"
"y1002","20220509","2"
"y1002","20220516","2"
"y1002","20220523","2"
"y1002","20220530","2"
"y1002","20220613","2"
"y1002","20220620","2"
