route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"99-10-r11-1","TA+b00nw","11.TA.99-10-r11-1.1.I","99-10-r11-1.1.I","","1"
"99-10-r11-1","TA+b00nw","12.TA.99-10-r11-1.1.I","99-10-r11-1.1.I","","1"
"99-10-r11-1","TA+b00at","19.TA.99-10-r11-1.1.I","99-10-r11-1.1.I","","1"
"99-10-r11-1","TA+b00at","20.TA.99-10-r11-1.1.I","99-10-r11-1.1.I","","1"
"99-10-r11-1","TA+b00jf","23.TA.99-10-r11-1.2.O","99-10-r11-1.2.O","","0"
"99-10-r11-1","TA+b00jf","24.TA.99-10-r11-1.2.O","99-10-r11-1.2.O","","0"
"99-10-r11-1","TA+b00je","25.TA.99-10-r11-1.2.O","99-10-r11-1.2.O","","0"
"99-10-r11-1","TA+b00je","26.TA.99-10-r11-1.2.O","99-10-r11-1.2.O","","0"
"99-10-r11-1","TA+b00jd","27.TA.99-10-r11-1.2.O","99-10-r11-1.2.O","","0"
"99-10-r11-1","TA+b00jd","28.TA.99-10-r11-1.2.O","99-10-r11-1.2.O","","0"
"99-10-r11-1","TA+b00jf","3.TA.99-10-r11-1.1.I","99-10-r11-1.1.I","","1"
"99-10-r11-1","TA+b00jg","32.TA.99-10-r11-1.2.O","99-10-r11-1.2.O","","0"
"99-10-r11-1","TA+b00jr","33.TA.99-10-r11-1.2.O","99-10-r11-1.2.O","","0"
"99-10-r11-1","TA+b00nw","34.TA.99-10-r11-1.2.O","99-10-r11-1.2.O","","0"
"99-10-r11-1","TA+b00nw","35.TA.99-10-r11-1.2.O","99-10-r11-1.2.O","","0"
"99-10-r11-1","TA+b00jf","4.TA.99-10-r11-1.1.I","99-10-r11-1.1.I","","1"
"99-10-r11-1","TA+b00at","49.TA.99-10-r11-1.2.O","99-10-r11-1.2.O","","0"
"99-10-r11-1","TA+b00je","5.TA.99-10-r11-1.1.I","99-10-r11-1.1.I","","1"
"99-10-r11-1","TA+b00es","50.TA.99-10-r11-1.2.O","99-10-r11-1.2.O","","0"
"99-10-r11-1","TA+b00je","6.TA.99-10-r11-1.1.I","99-10-r11-1.1.I","","1"
"99-10-r11-1","TA+b00jd","7.TA.99-10-r11-1.1.I","99-10-r11-1.1.I","","1"
"99-10-r11-1","TA+b00jd","8.TA.99-10-r11-1.1.I","99-10-r11-1.1.I","","1"
"99-11-r11-1","TA+b002c","1.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b00kt","10.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b00k9","11.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b00nw","118.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00nw","119.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00k9","12.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b00kt","120.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00nw","121.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00kt","122.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00k9","123.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00kt","124.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00k9","125.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00k9","126.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00k9","127.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
