route_id,agency_id,route_short_name,route_long_name,route_type
2-102-gad-1,03,102,,3
2-102-6-gad-1,03,102a,,3
2-102-7-gad-1,03,102c,,3
2-102-8-gad-1,03,102p,,3
2-102-9-gad-1,03,102t,,3
2-104-gad-1,03,104,,3
2-111-gad-1,03,111,,3
2-114-gad-1,03,114,,3
2-161-gad-1,03,161,,3
2-171-gad-1,03,17a,,3
2-174-gad-1,03,17d,,3
2-175-gad-1,03,175,,3
2-17-gad-1,03,17,,3
2-184-gad-1,03,184,,3
2-185-gad-1,03,185,,3
2-185-9-gad-1,03,185t,,3
2-18-gad-1,03,18,,3
2-220-gad-1,03,220,,3
2-220-1-gad-1,03,220a,,3
2-220-9-gad-1,03,220t,,3
2-236-1-gad-1,03,236a,,3
2-236-gad-1,03,236,,3
2-236-9-gad-1,03,236t,,3
2-238-gad-1,03,238,,3
2-270-gad-1,03,270,,3
2-270-9-gad-1,03,270t,,3
2-331-gad-1,03,33a,,3
2-332-gad-1,03,33b,,3
2-339-gad-1,03,33t,,3
2-451-gad-1,03,45a,,3
2-452-gad-1,03,45b,,3
2-59-gad-1,03,59,,3
2-63-gad-1,03,63,,3
2-631-gad-1,03,63a,,3
2-751-gad-1,03,75a,,3
2-75-gad-1,03,75,,3
2-761-gad-1,03,76a,,3
2-76-gad-1,03,76,,3
2-951-gad-1,03,L51,,3
2-952-gad-1,03,L52,,3
2-102-ga2-1,03,102,,3
2-102-6-ga2-1,03,102a,,3
2-102-7-ga2-1,03,102c,,3
2-102-8-ga2-1,03,102p,,3
2-102-9-ga2-1,03,102t,,3
2-104-ga2-1,03,104,,3
2-111-ga2-1,03,111,,3
2-114-ga2-1,03,114,,3
2-161-ga2-1,03,161,,3
2-171-ga2-1,03,17a,,3
2-174-ga2-1,03,17d,,3
2-175-ga2-1,03,175,,3
2-17-ga2-1,03,17,,3
2-184-ga2-1,03,184,,3
2-185-ga2-1,03,185,,3
2-185-9-ga2-1,03,185t,,3
2-18-ga2-1,03,18,,3
2-220-ga2-1,03,220,,3
2-220-1-ga2-1,03,220a,,3
2-220-9-ga2-1,03,220t,,3
2-236-1-ga2-1,03,236a,,3
2-236-ga2-1,03,236,,3
2-236-9-ga2-1,03,236t,,3
2-238-ga2-1,03,238,,3
2-239-ga2-1,03,239,,3
2-270-ga2-1,03,270,,3
2-270-9-ga2-1,03,270t,,3
2-331-ga2-1,03,33a,,3
2-332-ga2-1,03,33b,,3
2-339-ga2-1,03,33t,,3
2-451-ga2-1,03,45a,,3
2-452-ga2-1,03,45b,,3
2-59-ga2-1,03,59,,3
2-63-ga2-1,03,63,,3
2-631-ga2-1,03,63a,,3
2-751-ga2-1,03,75a,,3
2-75-ga2-1,03,75,,3
2-761-ga2-1,03,76a,,3
2-76-ga2-1,03,76,,3
2-951-ga2-1,03,L51,,3
2-952-ga2-1,03,L52,,3
17-120-1-cm1-1,03C,120a,,3
17-120-2-cm1-1,03C,120b,,3
17-120-3-cm1-1,03C,120c,,3
17-120-4-cm1-1,03C,120d,,3
17-120-5-cm1-1,03C,120e,,3
17-120-6-cm1-1,03C,120f,,3
17-120-9-cm1-1,03C,120x,,3
17-120-cm1-1,03C,120,,3
17-125-cm1-1,03C,125,,3
17-126-1-cm1-1,03C,126a,,3
17-126-2-cm1-1,03C,126b,,3
17-126-4-cm1-1,03C,126d,,3
17-126-5-cm1-1,03C,126e,,3
17-126-6-cm1-1,03C,126t,,3
17-126-8-cm1-1,03C,126n,,3
17-126-7-cm1-1,03C,126u,,3
17-126-9-cm1-1,03C,126x,,3
17-126-cm1-1,03C,126,,3
17-130-cm1-1,03C,130,,3
17-130-1-cm1-1,03C,130a,,3
17-120-1-cm2-1,03C,120a,,3
17-120-2-cm2-1,03C,120b,,3
17-120-3-cm2-1,03C,120c,,3
17-120-4-cm2-1,03C,120d,,3
17-120-5-cm2-1,03C,120e,,3
17-120-6-cm2-1,03C,120f,,3
17-120-9-cm2-1,03C,120x,,3
17-120-cm2-1,03C,120,,3
17-125-cm2-1,03C,125,,3
17-126-1-cm2-1,03C,126a,,3
17-126-2-cm2-1,03C,126b,,3
17-126-4-cm2-1,03C,126d,,3
17-126-5-cm2-1,03C,126e,,3
17-126-6-cm2-1,03C,126t,,3
17-126-7-cm2-1,03C,126u,,3
17-126-8-cm2-1,03C,126n,,3
17-126-9-cm2-1,03C,126x,,3
17-126-cm2-1,03C,126,,3
17-130-cm2-1,03C,130,,3
17-130-1-cm2-1,03C,130a,,3
2-197-y11-3,03,197,,3
