route_id,agency_id,route_short_name,route_long_name,route_type
"10-100-e19-1","01","100","Skerries (War Memorial) -","3"
"10-100-e20-1","01","100","Skerries (War Memorial) -","3"
"10-101-e19-1","01","101","Busáras - Drogheda Bus Station","3"
"10-101-e20-1","01","101","Busáras - Drogheda Bus Station","3"
"10-103-e19-1","01","103","Dublin (Beresford Place) - Tayto Park","3"
"10-103-e20-1","01","103","Dublin (Beresford Place) - Tayto Park","3"
"10-104-e19-1","01","104","Bus Stop at Train Station - Hastings Green Roundabout","3"
"10-104-e20-1","01","104","Bus Stop at Train Station - Hastings Green Roundabout","3"
"10-105-e19-1","01","105","Blanchardstown Hosp - Drogheda Bus Station","3"
"10-105-e20-1","01","105","Blanchardstown Hosp - Drogheda Bus Station","3"
"10-107-e19-1","01","107","Abbey Road - Kells","3"
"10-107-e20-1","01","107","Abbey Road - Kells","3"
"10-108-e19-1","01","108","Kells - Main Street","3"
"10-108-e20-1","01","108","Kells - Main Street","3"
"10-109-e19-1","01","109","Busáras - Cavan Institute","3"
"10-109-e20-1","01","109","Busáras - Cavan Institute","3"
"10-111-e19-1","01","111","Busáras - Delvin","3"
"10-111-e20-1","01","111","Busáras - Delvin","3"
"10-115-e19-1","01","115","Dublin (Belfield) - Outside Train Station","3"
"10-115-e20-1","01","115","Dublin (Belfield) - Outside Train Station","3"
"10-120-1-e19-1","01","120-1","Texaco - Creggan Court Hotel","3"
"10-120-1-e20-1","01","120-1","Texaco - Creggan Court Hotel","3"
"10-120-2-e19-1","01","120-2","Texaco - Creggan Court Hotel","3"
"10-120-2-e20-1","01","120-2","Texaco - Creggan Court Hotel","3"
"10-132-e19-1","01","132","Busáras - Rosslare Harbour","3"
"10-132-e20-1","01","132","Busáras - Rosslare Harbour","3"
"10-133-e19-1","01","133","Outside Connolly Station - Main Street","3"
"10-133-e20-1","01","133","Outside Connolly Station - Main Street","3"
"10-134-e19-1","01","134","Doreys Forge (Shanks Mare Pub) - Navan (Shopping Centre)","3"
"10-134-e20-1","01","134","Doreys Forge (Shanks Mare Pub) - Navan (Shopping Centre)","3"
"10-135-e19-1","01","135","Scurloughstown - Navan (Shopping Centre)","3"
"10-135-e20-1","01","135","Scurloughstown - Navan (Shopping Centre)","3"
"10-136-e19-1","01","136","Ross Cross Meath - Navan (Shopping Centre)","3"
"10-136-e20-1","01","136","Ross Cross Meath - Navan (Shopping Centre)","3"
"10-13-e19-1","01X","13","Limerick Bus Station - Tralee Bus Station","3"
"10-13-e20-1","01X","13","Limerick Bus Station - Tralee Bus Station","3"
"10-14-e19-1","01X","14","Limerick Bus Station - Killarney Bus Station","3"
"10-14-e20-1","01X","14","Limerick Bus Station - Killarney Bus Station","3"
"10-160-e19-1","01","160","- Newry Bus Station","3"
"10-160-e20-1","01","160","- Newry Bus Station","3"
"10-161-e19-1","01","161","- Newry Bus Station","3"
"10-161-e20-1","01","161","- Newry Bus Station","3"
"10-162-e19-1","01","162","- Monaghan Bus Station","3"
"10-162-e20-1","01","162","- Monaghan Bus Station","3"
"10-163-e19-1","01","163","Drogheda Bus Station - Donore","3"
"10-163-e20-1","01","163","Drogheda Bus Station - Donore","3"
"10-166-e19-1","01","166","- Cavan Bus Station","3"
"10-166-e20-1","01","166","- Cavan Bus Station","3"
"10-167-e19-1","01","167","- Ardee (Lidl)","3"
"10-167-e20-1","01","167","- Ardee (Lidl)","3"
"10-168-e19-1","01","168","- Drogheda Bus Station","3"
"10-168-e20-1","01","168","- Drogheda Bus Station","3"
"10-173-e19-1","01","173","West Street Drogheda - West Street Drogheda","3"
"10-173-e20-1","01","173","West Street Drogheda - West Street Drogheda","3"
"10-174-e19-1","01","174","- Muirhevnamuir (Ashbrook)","3"
"10-174-e20-1","01","174","- Muirhevnamuir (Ashbrook)","3"
"10-175-e19-1","01","175","Monaghan Bus Station - Farnham Street Bus Station","3"
"10-175-e20-1","01","175","Monaghan Bus Station - Farnham Street Bus Station","3"
"10-182-e19-1","01","182","Drogheda Bus Station - Monaghan Bus Station","3"
"10-182-e20-1","01","182","Drogheda Bus Station - Monaghan Bus Station","3"
"10-187-e19-1","01","187","Kells - Ballyjamesduff (Percy French Hotel)","3"
"10-187-e20-1","01","187","Kells - Ballyjamesduff (Percy French Hotel)","3"
"10-190-e19-1","01","190","Drogheda Bus Station - Trim Castle St (Opp Trim Castle)","3"
"10-190-e20-1","01","190","Drogheda Bus Station - Trim Castle St (Opp Trim Castle)","3"
"10-201-e19-1","01","201","Boherboy Rd (Opp Scoil Mhuire Banrion) - CUH (Bishopstown Rd)","3"
"10-201-e20-1","01","201","Boherboy Rd (Opp Scoil Mhuire Banrion) - CUH (Bishopstown Rd)","3"
"10-202-e19-1","01","202","Mahon Point Omniplex - Hollyhill (Apple)","3"
"10-202-e20-1","01","202","Mahon Point Omniplex - Hollyhill (Apple)","3"
"10-203-e19-1","01","203","Manor Farm - Parklands Drive (Park View Green)","3"
"10-203-e20-1","01","203","Manor Farm - Parklands Drive (Park View Green)","3"
"10-205-e19-1","01","205","Outside Kent Station Cork - CIT Campus","3"
"10-205-e20-1","01","205","Outside Kent Station Cork - CIT Campus","3"
"10-206-e19-1","01","206","Grange (Frankfield Estate) - South Mall (Danske Bank)","3"
"10-206-e20-1","01","206","Grange (Frankfield Estate) - South Mall (Danske Bank)","3"
"10-207-e19-1","01","207","Donnybrook (Scairt Cross Terminus) - Glenheights Park Terminus","3"
"10-207-e20-1","01","207","Donnybrook (Scairt Cross Terminus) - Glenheights Park Terminus","3"
"10-208-e19-1","01","208","Ashmount (Turning Circle) - Curraheen Village","3"
"10-208-e20-1","01","208","Ashmount (Turning Circle) - Curraheen Village","3"
"10-209-e19-1","01","209","Cork Merchants Quay - Lotamore Drive","3"
"10-209-e20-1","01","209","Cork Merchants Quay - Lotamore Drive","3"
"10-212-e19-1","01","212","Outside Kent Station Cork - Mahon Point Omniplex","3"
"10-212-e20-1","01","212","Outside Kent Station Cork - Mahon Point Omniplex","3"
"10-213-e19-1","01","213","St. Patrick Street (O2 Store) - Black Ash Park","3"
"10-213-e20-1","01","213","St. Patrick Street (O2 Store) - Black Ash Park","3"
