from_stop_id,to_stop_id,transfer_type,min_transfer_time
"8220B106401","8220DB000845","2","60"
"8220B106401","8220B135301","2","60"
"8220B106401","8220DB000909","2","240"
"8220B106401","8220DB000846","2","240"
"8220B106401","8220DB000908","2","420"
"8220B106401","8220DB000847","2","420"
"8220B106401","8220DB000786","2","60"
"8250DB003073","8250DB003040","2","60"
"8250DB003073","8250DB003039","2","240"
"8380B1553801","8380B1553501","2","0"
"8430B155401","8430B255231","2","0"
"8430B255231","8430B155401","2","0"
"8250B1022401","8250DB003129","2","0"
"8230DB003372","8230DB002223","2","300"
"8230DB003372","8230DB002224","2","180"
"8230DB003367","8230DB002223","2","300"
"8230DB003367","8230DB002224","2","180"
"8360B3354201","8360B345871","2","180"
"8350DB007207","8350DB007208","2","0"
"8350DB007208","8350DB007207","2","0"
"8350DB007248","8350DB007249","2","0"
"8350DB007249","8350DB007248","2","0"
"8350DB004117","8350DB006097","2","0"
"8350DB006097","8350DB004117","2","0"
"8350DB007296","8350DB006137","2","0"
"8350DB006137","8350DB007296","2","0"
"8350DB007255","8350DB007254","2","0"
"8350DB007254","8350DB007255","2","0"
"8350DB007257","8350DB007256","2","0"
"8350DB007256","8350DB007257","2","0"
"8350DB007259","8350DB007258","2","0"
"8350DB007258","8350DB007259","2","0"
"8350DB007251","8350DB007250","2","0"
"8350DB007251","8350DB007252","2","540"
"8350DB007251","8350DB007253","2","540"
"8350DB007251","8350DB005111","2","120"
"8350DB007251","8350B1333401","2","360"
"8350DB007251","8350DB004051","2","360"
"8350DB007251","8350DB004027","2","360"
"8350DB007250","8350DB007251","2","0"
"8350DB007250","8350DB007252","2","540"
"8350DB007250","8350DB007253","2","540"
"8350DB007250","8350DB005111","2","120"
"8350DB007250","8350B1333401","2","360"
"8350DB007250","8350DB004051","2","360"
"8350DB007250","8350DB004027","2","360"
"8350DB007252","8350DB007251","2","540"
"8350DB007252","8350DB007250","2","540"
"8350DB007252","8350DB007253","2","0"
"8350DB007252","8350DB005111","2","660"
"8350DB007252","8350B1333401","2","900"
"8350DB007252","8350DB004051","2","900"
"8350DB007252","8350DB004027","2","900"
"8350DB007253","8350DB007251","2","540"
"8350DB007253","8350DB007250","2","540"
"8350DB007253","8350DB007252","2","0"
"8350DB007253","8350DB005111","2","660"
"8350DB007253","8350B1333401","2","900"
"8350DB007253","8350DB004051","2","900"
"8350DB007253","8350DB004027","2","900"
"8350DB005089","8350DB004147","2","0"
"8350DB004147","8350DB005089","2","0"
"8350DB005091","8350DB004178","2","60"
"8350DB005092","8350B1022801","2","60"
"8350DB005092","8350DB004177","2","0"
"8350DB004067","8350DB005110","2","0"
"8350DB005110","8350DB004067","2","0"
"8350DB005088","8350DB005167","2","0"
"8350DB005167","8350DB005088","2","0"
"8350DB004261","8350DB004956","2","0"
"8350DB004956","8350DB004261","2","0"
"8350DB006000","8350B1022901","2","0"
"8350DB005111","8350DB007251","2","120"
"8350DB005111","8350DB007250","2","120"
"8350DB005111","8350DB007252","2","660"
"8350DB005111","8350DB007253","2","660"
"8350DB005111","8350B1333401","2","420"
"8350DB005111","8350DB004051","2","420"
"8350DB005111","8350DB004027","2","420"
"8350DB005136","8350DB004259","2","0"
"8350DB004259","8350DB005136","2","0"
"8350DB004299","8350DB005139","2","240"
"8350DB005139","8350DB004299","2","240"
"8350DB007367","8350DB004588","2","60"
"8350DB004589","8350DB007366","2","0"
"8350DB007366","8350DB004589","2","0"
"8350DB004275","8350DB007352","2","0"
"8350DB007352","8350DB004275","2","0"
"8350DB004242","8350DB004234","2","0"
"8350DB004234","8350DB004242","2","0"
"8350DB007265","8350DB007264","2","0"
"8350DB007264","8350DB007265","2","0"
"8350DB007263","8350B1333401","2","5940"
"8350DB007260","8350DB007261","2","0"
"8350DB007261","8350DB007260","2","0"
"8350DB007279","8350DB004655","2","120"
"8350DB007279","8350B1061801","2","0"
"8350DB007279","8350B1023601","2","120"
"8350DB007272","8350DB007271","2","0"
"8350DB007271","8350DB007272","2","0"
"8360B3553301","8360B609521","2","0"
"8360B3560101","8360B3560501","2","360"
"8360B3560301","8360B3560401","2","120"
"8360B3560401","8360B3560301","2","120"
"8360B3576201","8360B345831","2","180"
"8360B3575501","8360B357561","2","60"
"8360B3560501","8360B3560101","2","360"
"8360B3560501","8360B351611","2","240"
"8360B3375101","8360B337971","2","60"
"8360B3375301","8360B334651","2","120"
"8360B3365601","8360B333371","2","60"
"8360B3365201","8360B6095601","2","240"
"8360B3367801","8360B345971","2","60"
"8360B3368201","8360B336831","2","0"
"8360B3379301","8360B333391","2","60"
"8350DB004104","8350DB004112","2","0"
"8350DB004111","8350DB004105","2","0"
"8350DB004105","8350DB004111","2","0"
"8350DB004106","8350DB004110","2","0"
"8350DB004110","8350DB004106","2","0"
"8350DB004103","8350DB004113","2","60"
"8350DB004098","8350DB004056","2","0"
"8350DB004056","8350DB004098","2","0"
"8350DB004100","8350DB004102","2","0"
"8350DB004102","8350DB004100","2","0"
"8350DB004101","8350DB004021","2","0"
"8350DB004021","8350DB004101","2","0"
"8350DB004114","8350DB004115","2","120"
"8350DB004114","8350DB004094","2","120"
"8350DB004114","8350DB004095","2","240"
"8350DB004115","8350DB004114","2","120"
"8350DB004115","8350DB004094","2","0"
"8350DB004094","8350DB004114","2","120"
"8350DB004094","8350DB004115","2","0"
"8350DB004093","8350DB004116","2","0"
"8350DB004116","8350DB004093","2","0"
"8350DB004113","8350DB004103","2","60"
"8350DB004112","8350DB004104","2","0"
"8350DB004015","8350DB004063","2","0"
"8350DB004063","8350DB004015","2","0"
"8350DB004065","8350DB004013","2","0"
"8350DB004013","8350DB004065","2","0"
"8350DB004012","8350DB004066","2","0"
"8350DB004066","8350DB004012","2","0"
"8350DB004022","8350DB004057","2","0"
"8350DB004057","8350DB004022","2","0"
"8350DB004017","8350DB004062","2","0"
"8350DB004062","8350DB004017","2","0"
"8350DB004095","8350DB004114","2","240"
"8350DB004091","8350DB004118","2","0"
"8350DB004118","8350DB004091","2","0"
"8350DB004068","8350DB004011","2","0"
"8350DB004011","8350DB004068","2","0"
"8250DB004121","8250DB004088","2","0"
"8250DB004088","8250DB004121","2","0"
"8350DB004120","8350DB004089","2","0"
"8350DB004089","8350DB004120","2","0"
"8350DB004182","8350DB004150","2","0"
"8350DB004182","8350DB004171","2","60"
"8350DB004150","8350DB004182","2","0"
"8350DB004150","8350DB004171","2","60"
"8350DB004151","8350DB004132","2","0"
"8350DB004137","8350DB004146","2","0"
"8350DB004146","8350DB004137","2","0"
"8350DB004136","8350DB004148","2","0"
"8350DB004148","8350DB004136","2","0"
"8350DB004156","8350DB004170","2","300"
"8350DB004156","8350DB004153","2","300"
"8350DB004156","8350DB007294","2","300"
"8350DB004156","8350DB002997","2","480"
"8350DB004139","8350DB004144","2","0"
"8350DB004144","8350DB004139","2","0"
"8350DB004132","8350DB004151","2","0"
"8350DB004133","8350DB004014","2","0"
"8350DB004014","8350DB004133","2","0"
"8350DB004134","8350DB003045","2","0"
"8350DB004130","8350DB004183","2","60"
"8350DB004130","8350DB004199","2","60"
"8350DB004130","8350DB004154","2","180"
"8350DB004130","8350DB004131","2","180"
"8350DB004130","8350B102261","2","180"
"8350DB004130","8350B106331","2","180"
"8350B1355401","8350B1355301","2","120"
"8350B102441","8350B1355501","2","0"
"8350B1355501","8350B102441","2","0"
"8350B134551","8350B136271","2","60"
"8350B1022901","8350DB006000","2","0"
"8350B1022801","8350DB005092","2","60"
"8350B1022801","8350DB004177","2","60"
"8350B1333401","8350DB007251","2","360"
"8350B1333401","8350DB007250","2","360"
"8350B1333401","8350DB007252","2","900"
"8350B1333401","8350DB007253","2","900"
"8350B1333401","8350DB005111","2","420"
"8350B1333401","8350DB007263","2","5940"
"8350B1333401","8350DB004051","2","60"
"8350B1333401","8350DB004027","2","60"
"8350B1063001","8350B1060201","2","0"
"8350B1063001","8350DB004173","2","60"
"8350B1063001","8350DB004180","2","60"
"8350B1060201","8350B1063001","2","0"
"8350B1060201","8350DB004173","2","60"
"8350B1060201","8350DB004180","2","60"
"8350DB004059","8350DB004019","2","0"
"8350DB004019","8350DB004059","2","0"
"8350DB004051","8350DB007251","2","360"
"8350DB004051","8350DB007250","2","360"
"8350DB004051","8350DB007252","2","900"
"8350DB004051","8350DB007253","2","900"
"8350DB004051","8350DB005111","2","420"
"8350DB004051","8350B1333401","2","60"
"8350DB004051","8350DB004027","2","0"
"8350DB004027","8350DB007251","2","360"
"8350DB004027","8350DB007250","2","360"
"8350DB004027","8350DB007252","2","900"
"8350DB004027","8350DB007253","2","900"
"8350DB004027","8350DB005111","2","420"
"8350DB004027","8350B1333401","2","60"
"8350DB004027","8350DB004051","2","0"
"8350DB004054","8350DB004024","2","0"
"8350DB004024","8350DB004054","2","0"
"8350DB004055","8350DB004023","2","0"
"8350DB004023","8350DB004055","2","0"
"8350DB003045","8350DB004134","2","0"
"8350DB002993","8350DB002963","2","60"
"8350DB002963","8350DB002993","2","60"
"8350DB004227","8350DB004279","2","0"
"8350DB004279","8350DB004227","2","0"
"8350DB004281","8350DB004225","2","0"
"8350DB004281","8350DB004282","2","60"
"8350DB004281","8350DB004226","2","60"
"8350DB004281","8350DB004224","2","480"
"8350DB004225","8350DB004281","2","0"
"8350DB004225","8350DB004282","2","60"
"8350DB004225","8350DB004226","2","60"
"8350DB004225","8350DB004224","2","480"
"8350DB004282","8350DB004281","2","60"
"8350DB004282","8350DB004225","2","60"
"8350DB004274","8350DB004246","2","0"
"8350DB004276","8350DB004231","2","0"
"8350DB004288","8350DB004217","2","0"
"8350DB004289","8350DB004294","2","0"
"8350DB004293","8350DB004290","2","0"
"8350DB004290","8350DB004293","2","0"
"8350DB004291","8350DB004292","2","0"
"8350DB004287","8350DB004218","2","0"
"8350DB004219","8350DB004286","2","0"
"8350DB004286","8350DB004219","2","0"
"8350DB004222","8350DB004284","2","0"
"8350DB004284","8350DB004222","2","0"
"8350DB004285","8350DB004220","2","0"
"8350DB004220","8350DB004285","2","0"
"8350DB004273","8350DB004248","2","60"
"8350DB004267","8350DB004253","2","0"
"8350DB004253","8350DB004267","2","0"
"8350DB004254","8350DB004266","2","0"
"8350DB004254","8350DB004305","2","120"
"8350DB004266","8350DB004254","2","0"
"8350DB004266","8350DB004305","2","120"
"8350DB004256","8350DB004264","2","0"
"8350DB004264","8350DB004256","2","0"
"8350DB004257","8350DB004263","2","0"
"8350DB004263","8350DB004257","2","0"
"8350DB004268","8350DB004252","2","60"
"8350DB004269","8350DB004251","2","0"
"8350DB004250","8350DB004270","2","0"
"8350DB004270","8350DB004250","2","0"
"8350DB004249","8350DB004271","2","0"
"8350DB004271","8350DB004249","2","0"
"8350DB004588","8350DB007367","2","60"
"8350B1061901","8350DB004654","2","0"
"8350B1061901","8350DB004658","2","0"
"8350B1061901","8350B1023501","2","0"
"8350DB004654","8350B1061901","2","0"
"8350DB004654","8350DB004658","2","0"
"8350DB004654","8350B1023501","2","0"
"8350DB004658","8350B1061901","2","0"
"8350DB004658","8350DB004654","2","0"
"8350DB004658","8350B1023501","2","0"
"8350B1023501","8350B1061901","2","0"
"8350B1023501","8350DB004654","2","0"
"8350B1023501","8350DB004658","2","0"
"8350DB004659","8350DB004653","2","120"
"8350DB004659","8350B1062001","2","0"
"8350DB004659","8350B1023401","2","120"
"8350DB004652","8350DB004660","2","0"
"8350DB004660","8350DB004652","2","0"
"8350DB004653","8350DB004659","2","120"
"8350DB004653","8350B1062001","2","120"
"8350DB004653","8350B1023401","2","0"
"8350DB004655","8350DB007279","2","120"
"8350DB004655","8350B1061801","2","120"
"8350DB004655","8350B1023601","2","0"
"8350DB004214","8350DB004297","2","0"
"8350DB004297","8350DB004214","2","0"
"8350DB004212","8350DB004300","2","0"
"8350DB004300","8350DB004212","2","0"
"8350DB004296","8350DB004215","2","60"
"8350DB004292","8350DB004291","2","0"
"8350DB004294","8350DB004289","2","0"
"8350DB004295","8350DB004216","2","60"
"8350DB004306","8350DB004308","2","0"
"8350DB004308","8350DB004306","2","0"
"8350DB004303","8350DB004208","2","0"
"8350DB004305","8350DB004254","2","120"
"8350DB004305","8350DB004266","2","120"
"8350DB004192","8350DB004190","2","0"
"8350DB004190","8350DB004192","2","0"
"8350DB004196","8350DB004186","2","0"
"8350DB004186","8350DB004196","2","0"
"8350DB004208","8350DB004303","2","0"
"8350DB004183","8350DB004130","2","60"
"8350DB004183","8350DB004199","2","0"
"8350DB004183","8350DB004154","2","240"
"8350DB004183","8350DB004131","2","240"
"8350DB004183","8350B102261","2","240"
"8350DB004183","8350B106331","2","240"
"8350DB004199","8350DB004130","2","60"
"8350DB004199","8350DB004183","2","0"
"8350DB004199","8350DB004154","2","240"
"8350DB004199","8350DB004131","2","240"
"8350DB004199","8350B102261","2","240"
"8350DB004199","8350B106331","2","240"
"8350DB004170","8350DB004156","2","300"
"8350DB004170","8350DB004153","2","180"
"8350DB004170","8350DB007294","2","180"
"8350DB004170","8350DB002997","2","120"
"8350DB004171","8350DB004182","2","60"
"8350DB004171","8350DB004150","2","60"
"8350DB004172","8350DB004181","2","0"
"8350DB004181","8350DB004172","2","0"
"8350DB004173","8350B1063001","2","60"
"8350DB004173","8350B1060201","2","60"
"8350DB004173","8350DB004180","2","0"
"8350DB004180","8350B1063001","2","60"
"8350DB004180","8350B1060201","2","60"
"8350DB004180","8350DB004173","2","0"
"8350DB004169","8350DB004167","2","60"
"8350DB004169","8350DB004168","2","60"
"8350DB004167","8350DB004169","2","60"
"8350DB004167","8350DB004168","2","60"
"8350DB004168","8350DB004169","2","60"
"8350DB004168","8350DB004167","2","60"
"8350DB004178","8350DB005091","2","60"
"8350DB004178","8350DB004175","2","120"
"8350DB004175","8350DB004178","2","120"
"8350DB004177","8350DB005092","2","0"
"8350DB004177","8350B1022801","2","60"
"8350DB004241","8350DB004235","2","0"
"8350DB004235","8350DB004241","2","0"
"8350DB004237","8350B1062501","2","60"
"8350DB004251","8350DB004269","2","0"
"8350DB004252","8350DB004268","2","60"
"8350DB004248","8350DB004273","2","60"
"8350DB004246","8350DB004274","2","0"
"8350DB004231","8350DB004276","2","0"
"8350DB004217","8350DB004288","2","0"
"8350DB004218","8350DB004287","2","0"
"8350DB004216","8350DB004295","2","60"
"8350DB004215","8350DB004296","2","60"
"8350DB004226","8350DB004281","2","60"
"8350DB004226","8350DB004225","2","60"
"8350DB004224","8350DB004281","2","480"
"8350DB004224","8350DB004225","2","480"
"8380B235821","8380B2326201","2","0"
"8380B2326201","8380B235821","2","0"
"8380B2324901","8380B215271","2","60"
"8380B2321301","8380B245161","2","60"
"8380B2522501","8380B215631","2","420"
"8380B235731","8380B2336201","2","0"
"8380B2336201","8380B235731","2","0"
"8380B2330301","8380B235331","2","240"
"8380B2314701","8380B245341","2","60"
"8380B2314701","8380B245241","2","360"
"8380B2314701","8380B245031","2","360"
"8380B246261","8380B2315101","2","0"
"8380B2315101","8380B246261","2","0"
